day_count,Date,Day length,Day_length_mins_sec
1,"2022 Sat, Jan 1",07:51:17,471.28
2,"2022 Sun, Jan 2",07:52:33,472.55
36,"2022 Sat, Feb 5",09:23:06,563.1
37,"2022 Sun, Feb 6",09:26:44,566.73
65,"2022 Sun, Mar 6",11:16:30,676.5
66,"2022 Mon, Mar 7",11:20:35,680.58
91,"2022 Fri, Apr 1",13:03:03,783.05
92,"2022 Sat, Apr 2",13:07:08,787.13
130,"2022 Tue, May 10",15:32:34,932.57
131,"2022 Wed, May 11",15:35:53,935.88
154,"2022 Fri, Jun 3",16:36:46,996.77
155,"2022 Sat, Jun 4",16:38:32,998.53
185,"2022 Mon, Jul 4",16:44:19,1004.32
186,"2022 Tue, Jul 5",16:42:54,1002.9
221,"2022 Tue, Aug 9",15:08:18,908.3
222,"2022 Wed, Aug 10",15:04:42,904.7
246,"2022 Sat, Sep 3",13:32:56,812.93
247,"2022 Sun, Sep 4",13:28:58,808.97
276,"2022 Mon, Oct 3",11:32:06,692.1
277,"2022 Tue, Oct 4",11:28:05,688.08
308,"2022 Fri, Nov 4",09:27:39,567.65
309,"2022 Sat, Nov 5",09:24:02,564.03
335,"2022 Thu, Dec 1",08:07:07,487.12
336,"2022 Fri, Dec 2",08:05:03,485.05
366,"2023 Sun, Jan 1",07:51:01,471.02
367,"2023 Mon, Jan 2",07:52:13,472.22
399,"2023 Fri, Feb 3",09:15:06,555.1
400,"2023 Sat, Feb 4",09:18:39,558.65
427,"2023 Fri, Mar 3",11:03:18,663.3
428,"2023 Sat, Mar 4",11:07:22,667.37
476,"2023 Fri, Apr 21",14:22:08,862.13
477,"2023 Sat, Apr 22",14:26:00,866
490,"2023 Fri, May 5",15:14:26,914.43
491,"2023 Sat, May 6",15:17:58,917.97
528,"2023 Mon, Jun 12",16:48:57,1008.95
529,"2023 Tue, Jun 13",16:49:51,1009.85
549,"2023 Mon, Jul 3",16:45:54,1005.9
550,"2023 Tue, Jul 4",16:44:38,1004.63
578,"2023 Tue, Aug 1",15:36:32,936.53
579,"2023 Wed, Aug 2",15:33:14,933.23
611,"2023 Sun, Sep 3",13:33:54,813.9
612,"2023 Mon, Sep 4",13:29:56,809.93
